episode,reward,loss,length,epsilon
1,-1.657,0.4208,3600,0.13
2,-0.0169,0.4298,3600,0.1274
3,0.0758,0.3356,3600,0.1248
4,0.3235,0.2916,3600,0.1223
5,0.3597,0.2753,3600,0.1199
6,-0.3901,0.25,3600,0.1175
7,0.1237,0.223,3600,0.1151
8,-1.3753,0.2139,3600,0.1128
9,0.1613,0.2073,3600,0.1106
10,0.221,0.2,3600,0.1084
11,-0.4319,0.1861,3600,0.1062
12,-0.798,0.1774,3600,0.1041
13,0.0961,0.1787,3600,0.102
14,0.3318,0.1664,3600,0.0999
15,0.1832,0.1298,3600,0.0979
16,-0.5069,0.1123,3600,0.096
17,0.2589,0.1135,3600,0.0941
18,-0.5651,0.1136,3600,0.0922
19,-0.5905,0.113,3600,0.0903
20,-0.0855,0.1271,3600,0.0885
21,-0.0072,0.1306,3600,0.0868
22,-1.2995,0.1283,3600,0.085
23,-2.4432,0.154,3600,0.0833
24,-2.7259,0.2107,3600,0.0817
25,0.0124,0.2309,3600,0.08
26,-0.1256,0.2289,3600,0.0784
27,0.2406,0.2207,3600,0.0769
28,0.2937,0.2112,3600,0.0753
29,-1.6148,0.2118,3600,0.0738
30,0.1843,0.2176,3600,0.0723
31,-0.954,0.216,3600,0.0709
32,-0.6132,0.2106,3600,0.0695
33,-2.4988,0.2125,3600,0.0681
34,-1.1569,0.2156,3600,0.0667
35,0.1749,0.2061,3600,0.0654
36,0.0883,0.2007,3600,0.0641
37,0.2318,0.1788,3600,0.0628
38,-1.3918,0.1468,3600,0.0615
39,0.2638,0.1265,3600,0.0603
40,0.0812,0.1284,3600,0.0591
41,-0.1068,0.1253,3600,0.0579
42,-0.0566,0.1183,3600,0.0568
43,0.2275,0.111,3600,0.0556
44,-1.0805,0.1059,3600,0.0545
45,0.0322,0.1063,3600,0.0534
46,0.0874,0.1016,3600,0.0524
47,0.2433,0.0882,3600,0.0513
48,-1.6055,0.0724,3600,0.0503
49,-0.1851,0.0758,3600,0.05
50,-2.2561,0.0824,3600,0.05
51,0.2766,0.089,3600,0.05
52,0.1283,0.0845,3600,0.05
53,-2.3858,0.0857,3600,0.05
54,0.0987,0.0917,3600,0.05
55,-2.2224,0.0956,3600,0.05
56,-2.6251,0.1135,3600,0.05
57,-2.0871,0.1308,3600,0.05
58,-0.5991,0.1409,3600,0.05
59,-3.1358,0.151,3600,0.05
60,-2.3203,0.1607,3600,0.05
61,0.1314,0.1631,3600,0.05
62,-1.3312,0.1632,3600,0.05
63,0.142,0.1708,3600,0.05
64,-0.7304,0.1643,3600,0.05
65,0.2037,0.1606,3600,0.05
66,-3.5,0.1641,3600,0.05
67,-2.4103,0.1772,3600,0.05
68,-0.98,0.1773,3600,0.05
69,-1.6015,0.1666,3600,0.05
70,-3.505,0.1662,3600,0.05
71,-0.9629,0.1738,3600,0.05
72,-0.2023,0.1625,3600,0.05
73,-0.2642,0.1589,3600,0.05
74,0.3508,0.1447,3600,0.05
75,-0.1382,0.1391,3600,0.05
76,-3.2391,0.1412,3600,0.05
77,-0.1346,0.1675,3600,0.05
78,-1.2208,0.1621,3600,0.05
79,0.2491,0.1595,3600,0.05
80,0.35,0.1529,3600,0.05
81,0.3438,0.1302,3600,0.05
82,0.1659,0.1209,3600,0.05
83,0.1679,0.1199,3600,0.05
84,-0.3532,0.0996,3600,0.05
85,0.2734,0.0814,3600,0.05
86,0.3183,0.078,3600,0.05
87,0.2207,0.0778,3600,0.05
88,0.1898,0.0768,3600,0.05
89,-0.1551,0.0733,3600,0.05
90,0.0913,0.0599,3600,0.05
91,0.2059,0.0319,3600,0.05
92,0.3972,0.0258,3600,0.05
93,-1.1047,0.0246,3600,0.05
94,-1.462,0.0352,3600,0.05
95,0.3616,0.0419,3600,0.05
96,-1.4934,0.0479,3600,0.05
97,0.2764,0.0548,3600,0.05
98,0.2815,0.0562,3600,0.05
99,0.101,0.0563,3600,0.05
100,0.071,0.0588,3600,0.05
