episode,reward,loss,length,epsilon
1,-6.680142768281328,2.5423903759833304,3600,0.98
2,-1.356834366867403,2.2174809246593052,3600,0.9603999999999999
3,-3.2846933105927416,1.4079687158266703,3600,0.9411919999999999
4,-2.0030281543399946,1.0679653047853046,3600,0.9223681599999999
5,-4.2396778495435,0.8590966523687045,3600,0.9039207967999998
6,-3.5781907599588205,0.7754258239931531,3600,0.8858423808639998
7,-3.4972555857654752,0.7135083532664511,3600,0.8681255332467198
8,-5.519021205934101,0.6741170537140634,3600,0.8507630225817854
9,-6.02911123784168,0.7347614220778147,3600,0.8337477621301497
10,-4.986334062793421,0.7282484874460432,3600,0.8170728068875467
11,-1.8379505541922394,0.6984981732898289,3600,0.8007313507497957
12,-0.07305077214950201,0.7228489766518275,3600,0.7847167237347998
13,-5.311028308886401,0.7764635526471668,3600,0.7690223892601038
14,-1.7610892853014661,0.7737279192937745,3600,0.7536419414749017
15,-6.847378758236543,0.7592813044124179,3600,0.7385691026454037
16,-0.5251751124754631,0.7816697954965962,3600,0.7237977205924956
17,-3.017828026994559,0.7992426610986392,3600,0.7093217661806457
18,-2.093160421946004,0.7792757752537728,3600,0.6951353308570327
19,-1.4322857737801598,0.801188406712479,3600,0.6812326242398921
20,-5.171324967998215,0.7847106879287296,3600,0.6676079717550942
21,-3.211527572067893,0.7834841542773776,3600,0.6542558123199923
22,-1.8018158501432358,0.7611929176582231,3600,0.6411706960735924
23,-4.945369185642788,0.7012743535472287,3600,0.6283472821521205
24,-2.8007077572260677,0.678145029362705,3600,0.6157803365090782
25,-2.3860743407648304,0.6431975040667587,3600,0.6034647297788965
26,-4.694742115983511,0.626213573316733,3600,0.5913954351833186
27,-3.2413622914310785,0.5858398494952255,3600,0.5795675264796523
28,-1.1218749750402057,0.5755312910510434,3600,0.5679761759500592
29,-1.5456531874442057,0.5275578181031677,3600,0.5566166524310581
30,-7.024586020083967,0.4997669580909941,3600,0.5454843193824369
31,-0.7113221801040048,0.5414646275838216,3600,0.5345746329947881
32,-1.0005275148726533,0.5462377334303327,3600,0.5238831403348924
33,-0.2730971775573176,0.5492540937662125,3600,0.5134054775281945
34,-0.24723048593308042,0.5465305005676216,3600,0.5031373679776306
35,-0.7818182298873378,0.5183722338991033,3600,0.493074620618078
36,-0.5302375359048377,0.5062128207087517,3600,0.48321312820571644
37,-0.431524716509182,0.491315878836645,3600,0.4735488656416021
38,-0.9392656773435344,0.4257868968281481,3600,0.46407788832877006
39,-0.3650014673516596,0.39812176260683274,3600,0.45479633056219465
40,-0.297800724064685,0.3582534090181192,3600,0.44570040395095073
41,0.005824249547421497,0.28301694844332004,3600,0.4367863958719317
42,-1.292070028602144,0.25388829215533204,3600,0.42805066795449304
43,-0.1395982995764053,0.2520880223976241,3600,0.41948965459540316
44,-0.6277025738558522,0.1714752310907675,3600,0.4110998615034951
45,-2.021080958759508,0.09513922325852844,3600,0.4028778642734252
46,-1.6288678129601644,0.11317298978567124,3600,0.39482030698795667
47,-1.9647647950636158,0.12614931822030082,3600,0.38692390084819756
48,-0.30905760535041393,0.13493666978759897,3600,0.3791854228312336
49,-1.116978817867804,0.13243762213736773,3600,0.37160171437460887
50,-1.3022549353981443,0.13107212299687995,3600,0.3641696800871167
51,-0.1298120360874113,0.13882476954824394,3600,0.35688628648537435
52,-2.6620311953202176,0.142643213806053,3600,0.34974856075566685
53,-0.053146115861346106,0.17048801353822152,3600,0.3427535895405535
54,-0.6464306516115075,0.162525691555606,3600,0.33589851774974244
55,-0.4268877079058363,0.154014565423131,3600,0.3291805473947476
56,-1.10204733807653,0.15405114660246505,3600,0.32259693644685267
57,-1.297908617769514,0.1523973221745756,3600,0.3161449977179156
58,-1.3396205209310466,0.1586673077257971,3600,0.3098220977635573
59,-0.14255941495335145,0.1580781706339783,3600,0.30362565580828615
60,-0.38839174530689025,0.15306061707023116,3600,0.2975531426921204
61,-0.5356210139208513,0.1448597909261783,3600,0.291602079838278
62,-1.1351789786273718,0.13611058225855233,3600,0.2857700382415124
63,-0.31055595336523084,0.13436512694383662,3600,0.2800546374766822
64,-2.127963428433412,0.1382944467705157,3600,0.27445354472714856
65,0.14518436707284288,0.1456024719029665,3600,0.2689644738326056
66,-0.08901298556308308,0.14174808428105382,3600,0.26358518435595346
67,0.02139330232260349,0.12163642757675713,3600,0.25831348066883436
68,0.09013743551083514,0.12381025871054993,3600,0.2531472110554577
69,-0.21562315157557332,0.12335970000260406,3600,0.24808426683434853
70,-0.8596259326197944,0.12196155101267828,3600,0.24312258149766156
71,-0.9788770102965537,0.12724891170859337,3600,0.2382601298677083
72,-1.5549287276449621,0.12098414129888017,3600,0.23349492727035415
73,-0.7928117169631336,0.12179104123264552,3600,0.22882502872494706
74,-0.9730679278395221,0.11805694833190905,3600,0.22424852815044813
75,-0.1762626372877345,0.11810861035767528,3600,0.21976355758743915
76,-0.17130302181014675,0.11449805244596468,3600,0.21536828643569036
77,-0.210446340039028,0.1117645636987355,3600,0.21106092070697655
78,-0.08184666146549241,0.09826927327447467,3600,0.20683970229283702
79,-0.41971199795082537,0.08680440831308564,3600,0.20270290824698028
80,-0.46349333232842116,0.08409408325122462,3600,0.19864885008204067
81,-0.45211213579068277,0.08500552500287692,3600,0.19467587308039985
82,-4.236154187814279,0.10641186978461013,3600,0.19078235561879187
83,-0.19366760751744916,0.1438244140562084,3600,0.18696670850641603
84,-0.3440296018737133,0.14330014466204577,3600,0.18322737433628772
85,-0.8308314457795848,0.13811095481324526,3600,0.17956282684956196
86,-0.20917472180129784,0.14242569596817095,3600,0.1759715703125707
87,-1.673353247585858,0.14183087257668375,3600,0.1724521389063193
88,-1.2885094036463394,0.15745479917360677,3600,0.16900309612819292
89,-0.20603602968902016,0.15709696114063262,3600,0.16562303420562907
90,-0.8954151703191274,0.15658410191535949,3600,0.16231057352151648
91,-2.506180849646684,0.16594462383538486,3600,0.15906436205108615
92,-3.680680391651875,0.19596311103138658,3600,0.15588307481006441
93,-0.3923746823114724,0.22158051111218002,3600,0.15276541331386312
94,-0.6157992417268456,0.2217820857423875,3600,0.14971010504758586
95,-1.9159624947042373,0.21887650429788563,3600,0.14671590294663414
96,-1.1597415598849996,0.209042119325863,3600,0.14378158488770146
97,-0.4458334326356809,0.18631351474672556,3600,0.14090595318994742
98,-3.6328792905530563,0.19325851519074705,3600,0.13808783412614847
99,-2.4802626529179177,0.23613342627469036,3600,0.13532607744362551
100,-0.7647335259032298,0.24469178437358804,3600,0.132619555894753
