episod,avg_waiting_time_car,avg_waiting_time_bicycle,avg_waiting_time_bus,avg_waiting_time_pedestrian,co2_total_kg_per_s,co2_total_kg_per_hour,reward_waiting_avg,reward_flow_avg,reward_co2_avg,reward_equity_avg,reward_safety_avg,reward_blocked_avg,reward_diversity_avg,reward_consecutive_continue_avg,reward_bus_assistance_avg,reward_next_bonus_avg,reward_skip2p1_effectiveness_avg,reward_skip2p1_incentive_avg,reward_stability_avg,safety_violations_total
82,44.33,14.7,1.97,3.08,0.39,1390.1,-2.29,0.28,-0.02,-0.26,0.05,-0.01,-0.03,-0.0,0.01,0.06,0.02,-0.02,0.08,0
83,43.48,24.15,0.99,2.35,0.29,1056.52,-1.54,0.39,-0.01,-0.16,0.05,-0.0,-0.02,-0.0,0.01,0.05,0.01,-0.02,0.09,0
84,38.52,27.47,1.28,2.22,0.35,1254.09,-2.1,0.31,-0.02,-0.1,0.05,-0.0,-0.02,-0.0,0.01,0.06,0.01,-0.03,0.09,0
85,33.43,17.29,1.11,0.77,0.34,1209.98,-1.42,0.34,-0.02,-0.17,0.05,-0.0,-0.02,-0.0,0.01,0.06,0.01,-0.03,0.1,0
86,14.95,11.26,3.85,0.24,0.19,668.32,-0.26,0.45,-0.01,-0.09,0.05,-0.0,-0.02,-0.0,-0.0,0.08,0.0,-0.05,0.09,0
87,14.73,23.58,1.81,0.31,0.15,525.85,-0.52,0.42,-0.01,-0.15,0.05,-0.0,-0.02,-0.0,0.0,0.07,0.0,-0.05,0.09,0
88,25.19,5.08,9.82,0.3,0.34,1237.16,-0.24,0.46,-0.02,-0.33,0.05,-0.0,-0.02,-0.0,-0.04,0.07,0.0,-0.05,0.09,0
89,14.74,10.05,4.52,0.37,0.11,380.12,-0.27,0.45,-0.01,-0.11,0.05,-0.0,0.0,-0.01,-0.0,0.03,0.0,-0.05,0.09,0
90,16.95,7.84,0.67,0.46,0.19,683.09,-0.21,0.46,-0.01,-0.19,0.05,-0.0,0.0,-0.01,0.01,0.02,0.0,-0.04,0.1,0
91,15.12,8.44,1.75,0.52,0.13,468.04,-0.12,0.48,-0.01,-0.15,0.05,-0.0,0.0,-0.01,0.0,0.03,0.0,-0.05,0.1,0
92,46.17,6.71,8.96,0.67,0.8,2877.13,-2.08,0.29,-0.04,-0.37,0.05,-0.0,0.0,-0.01,-0.02,0.02,0.0,-0.04,0.1,0
93,22.03,7.49,2.87,0.58,0.18,658.75,-0.45,0.42,-0.01,-0.25,0.05,-0.0,0.0,-0.01,-0.0,0.02,0.0,-0.04,0.1,0
94,17.38,31.2,2.21,0.38,0.19,701.95,-1.17,0.33,-0.01,-0.16,0.05,-0.0,0.0,-0.01,0.0,0.03,0.0,-0.04,0.09,0
95,33.14,20.8,9.12,0.64,0.52,1873.45,-0.87,0.41,-0.03,-0.13,0.05,-0.0,0.0,-0.01,-0.03,0.02,0.01,-0.03,0.09,0
96,42.75,5.74,14.19,0.21,1.02,3684.49,-1.5,0.36,-0.05,-0.37,0.05,-0.01,0.01,-0.01,-0.04,0.02,0.01,-0.03,0.08,0
97,15.87,5.85,4.59,0.29,0.19,671.93,-0.17,0.47,-0.01,-0.24,0.05,-0.0,0.0,-0.01,-0.0,0.04,0.0,-0.04,0.1,0
98,27.28,14.85,2.47,0.28,0.27,976.47,-0.51,0.42,-0.01,-0.17,0.05,-0.0,0.0,-0.0,0.0,0.07,0.0,-0.02,0.1,0
99,17.83,9.15,2.26,0.35,0.24,846.98,-0.29,0.44,-0.01,-0.18,0.05,-0.0,-0.01,-0.0,0.0,0.08,0.01,-0.03,0.09,0
100,48.89,25.71,8.19,1.32,1.16,4174.6,-2.63,0.26,-0.06,-0.17,0.05,-0.01,-0.05,-0.0,-0.02,0.12,0.02,-0.02,0.07,0
101,38.91,20.82,4.22,2.84,0.29,1026.34,-1.9,0.31,-0.01,-0.17,0.05,-0.0,-0.02,-0.01,-0.01,0.06,0.01,-0.02,0.1,0
102,21.77,14.23,8.81,0.33,0.33,1177.48,-0.37,0.43,-0.02,-0.12,0.05,-0.0,0.0,-0.02,-0.02,0.03,0.0,-0.05,0.1,0
