episode,reward,loss,length,epsilon
157,-2.0871,0.1308,3600,0.05
158,-0.5991,0.1409,3600,0.05
159,-3.1358,0.151,3600,0.05
160,-2.3203,0.1607,3600,0.05
161,0.1314,0.1631,3600,0.05
162,-1.3312,0.1632,3600,0.05
163,0.142,0.1708,3600,0.05
164,-0.7304,0.1643,3600,0.05
165,0.2037,0.1606,3600,0.05
166,-3.5,0.1641,3600,0.05
167,-2.4103,0.1772,3600,0.05
168,-0.98,0.1773,3600,0.05
169,-1.6015,0.1666,3600,0.05
170,-3.505,0.1662,3600,0.05
171,-0.9629,0.1738,3600,0.05
172,-0.2023,0.1625,3600,0.05
173,-0.2642,0.1589,3600,0.05
174,0.3508,0.1447,3600,0.05
175,-0.1382,0.1391,3600,0.05
176,-3.2391,0.1412,3600,0.05
177,-0.1346,0.1675,3600,0.05
178,-1.2208,0.1621,3600,0.05
179,0.2491,0.1595,3600,0.05
180,0.35,0.1529,3600,0.05
181,0.3438,0.1302,3600,0.05
182,0.1659,0.1209,3600,0.05
183,0.1679,0.1199,3600,0.05
184,-0.3532,0.0996,3600,0.05
185,0.2734,0.0814,3600,0.05
186,0.3183,0.078,3600,0.05
187,0.2207,0.0778,3600,0.05
188,0.1898,0.0768,3600,0.05
189,-0.1551,0.0733,3600,0.05
190,0.0913,0.0599,3600,0.05
191,0.2059,0.0319,3600,0.05
192,0.3972,0.0258,3600,0.05
193,-1.1047,0.0246,3600,0.05
194,-1.462,0.0352,3600,0.05
195,0.3616,0.0419,3600,0.05
196,-1.4934,0.0479,3600,0.05
197,0.2764,0.0548,3600,0.05
198,0.2815,0.0562,3600,0.05
199,0.101,0.0563,3600,0.05
200,0.071,0.0588,3600,0.05
